timestamp,symbol,bid,ask,bid_vol,ask_vol
2025-07-25T08:16:27.317384,1INCH-USDT,0.2728,0.273,146.07,1006.72
2025-07-25T08:16:27.317448,ACH-USDT,0.02161,0.02162,12370.4,30150.6
2025-07-25T08:16:27.317519,A-USDT,0.5588,0.5591,480.41,32.22
2025-07-25T08:16:27.320500,AERGO-USDT,0.13068,0.13082,215.0,108.0
2025-07-25T08:16:27.320570,ACE-USDT,0.56,0.563,7158.758,576.269
2025-07-25T08:16:27.320625,AERO-USDT,0.876,0.877,1165.389,218.959
2025-07-25T08:16:27.320676,AIN-USDT,0.15309,0.15321,400.0,529.12
2025-07-25T08:16:27.320736,ACT-USDT,0.044,0.0441,64931.0,154391.2
2025-07-25T08:16:27.320776,AAVE-USDT,287.13,287.14,0.0839,0.0205
2025-07-25T08:16:27.320834,AGLD-USDT,0.767,0.769,8881.586,1.224
2025-07-25T08:16:27.320874,1INCH-USDT,0.2729,0.2731,113.04,33.03
2025-07-25T08:16:27.370178,AERGO-USDT,0.13068,0.13082,215.0,108.0
2025-07-25T08:16:27.371885,AEVO-USDT,0.1043,0.1044,27964.421,10734.695
2025-07-25T08:16:27.374520,AIXBT-USDT,0.13944,0.13965,53489.16,0.59
2025-07-25T08:16:27.375803,AI16Z-USDT,0.14647,0.14651,408.21,1266.3
2025-07-25T08:16:27.377401,ADA-USDT,0.7976,0.7979,14249.15,9663.11
2025-07-25T08:16:27.674626,ACH-USDT,0.02161,0.02162,12370.4,30150.6
2025-07-25T08:16:27.675964,AAVE-USDT,287.13,287.14,0.0839,0.0205
2025-07-25T08:16:27.677066,AGT-USDT,0.00538,0.00587,2081.0,2708.0
2025-07-25T08:16:27.677372,ALCH-USDT,0.13745,0.13749,136.55,1530.31
2025-07-25T08:16:27.681888,ALT-USDT,0.03346,0.03349,556.22,316.64
2025-07-25T08:16:27.681944,AERO-USDT,0.876,0.878,1165.389,218.959
2025-07-25T08:16:27.682464,ANIME-USDT,0.01862,0.01865,15074.94,8892.62
2025-07-25T08:16:27.685354,ADA-USDT,0.7976,0.7979,14249.15,9663.11
2025-07-25T08:16:27.687007,A-USDT,0.5588,0.5591,480.41,32.22
2025-07-25T08:16:27.974142,ACE-USDT,0.56,0.563,7158.758,576.269
2025-07-25T08:16:27.975317,AGLD-USDT,0.767,0.769,8881.586,1.224
2025-07-25T08:16:27.978747,1INCH-USDT,0.2729,0.2731,113.04,33.03
2025-07-25T08:16:27.978803,ACT-USDT,0.044,0.0441,64931.0,154391.2
2025-07-25T08:16:27.978836,AIN-USDT,0.15309,0.15321,400.0,529.12
2025-07-25T08:16:27.985559,AERO-USDT,0.876,0.878,1165.519,210.128
2025-07-25T08:16:27.988259,A-USDT,0.5588,0.5591,480.41,32.22
2025-07-25T08:16:27.988300,ALGO-USDT,0.2574,0.2577,2677.79,3673.9
2025-07-25T08:16:28.275488,AERGO-USDT,0.13068,0.13082,215.0,108.0
2025-07-25T08:16:28.275535,AEVO-USDT,0.1043,0.1044,27964.421,10734.695
2025-07-25T08:16:28.277116,AI16Z-USDT,0.14647,0.14651,408.21,1266.3
2025-07-25T08:16:28.280909,AIXBT-USDT,0.13944,0.13965,53489.16,0.59
2025-07-25T08:16:28.280958,ADA-USDT,0.7976,0.7979,14249.15,9663.11
2025-07-25T08:16:28.577623,ACH-USDT,0.02161,0.02162,12370.4,30150.6
2025-07-25T08:16:28.578911,ALCH-USDT,0.13745,0.13749,136.55,1530.31
2025-07-25T08:16:28.579076,AGT-USDT,0.00538,0.00587,2081.0,2708.0
2025-07-25T08:16:28.579185,AAVE-USDT,287.13,287.14,0.0839,0.0205
