timestamp,symbol,bid,ask,bid_vol,ask_vol
2025-07-25T07:48:09.610049,BTC-USDT,1152198000,1152199000,133501,350
2025-07-25T07:48:09.610102,BTC-USDT,1151779000,0.0,1,0.0
2025-07-25T07:48:09.610132,BTC-USDT,1152198000,0.0,151377,0.0
2025-07-25T07:48:09.610157,BTC-USDT,1152198000,0.0,133501,0.0
2025-07-25T07:48:09.610176,BTC-USDT,1152198000,0.0,151377,0.0
2025-07-25T07:48:09.610191,BTC-USDT,1152198000,0.0,133501,0.0
2025-07-25T07:48:09.610207,BTC-USDT,1152198000,0.0,151377,0.0
2025-07-25T07:48:09.610224,BTC-USDT,0.0,1152221000,0.0,0
2025-07-25T07:48:09.610268,BTC-USDT,0.0,1152484000,0.0,0
2025-07-25T07:48:09.610302,BTC-USDT,0.0,1152301000,0.0,73800
2025-07-25T07:48:09.621149,BTC-USDT,1152107000,0.0,153999,0.0
2025-07-25T07:48:09.681391,BTC-USDT,1152198000,0.0,133501,0.0
2025-07-25T07:48:09.701637,BTC-USDT,1151940000,0.0,1,0.0
2025-07-25T07:48:10.569940,BTC-USDT,0.0,1152276000,0.0,73800
2025-07-25T07:48:10.582877,BTC-USDT,1151981000,0.0,1,0.0
2025-07-25T07:48:10.762621,BTC-USDT,0.0,1152276000,0.0,0
2025-07-25T07:48:10.783521,BTC-USDT,1152198000,0.0,151377,0.0
2025-07-25T07:48:10.983366,BTC-USDT,1152198000,0.0,133501,0.0
2025-07-25T07:48:11.336425,BTC-USDT,1152198000,0.0,151377,0.0
2025-07-25T07:48:11.340014,BTC-USDT,0.0,1152301000,0.0,0
2025-07-25T07:48:11.363565,BTC-USDT,0.0,1152349000,0.0,0
2025-07-25T07:48:11.423958,BTC-USDT,0.0,1152199000,0.0,0
2025-07-25T07:48:11.443934,BTC-USDT,1152201000,1152203000,17876,150000
2025-07-25T07:48:11.463811,BTC-USDT,0.0,1152357000,0.0,93335
2025-07-25T07:48:11.504001,BTC-USDT,1152202000,1152203000,103501,0
2025-07-25T07:48:11.524139,BTC-USDT,1152224000,1152260000,881,32875
2025-07-25T07:48:11.543949,BTC-USDT,0.0,1152357000,0.0,0
2025-07-25T07:48:11.584959,BTC-USDT,1152225000,1152259000,7996,7997
2025-07-25T07:48:11.604142,BTC-USDT,1152198000,1152226000,0,150000
2025-07-25T07:48:11.624476,BTC-USDT,1152225000,1152226000,22996,0
2025-07-25T07:48:11.664385,BTC-USDT,1152226000,1152254000,7996,32875
2025-07-25T07:48:11.684468,BTC-USDT,0.0,1152227000,0.0,150000
2025-07-25T07:48:11.704412,BTC-USDT,0.0,1152227000,0.0,0
2025-07-25T07:48:11.744944,BTC-USDT,1152253000,1152254000,7996,24878
2025-07-25T07:48:11.784498,BTC-USDT,1152253000,0.0,70541,0.0
2025-07-25T07:48:11.844417,BTC-USDT,1152253000,1152273000,133501,7997
2025-07-25T07:48:12.665179,BTC-USDT,1151918000,0.0,355,0.0
2025-07-25T07:48:12.671024,BTC-USDT,0.0,1152254000,0.0,174878
2025-07-25T07:48:12.672572,BTC-USDT,0.0,1152254000,0.0,175228
2025-07-25T07:48:12.673893,BTC-USDT,0.0,1152273000,0.0,0
2025-07-25T07:48:12.674665,BTC-USDT,0.0,1152254000,0.0,183225
2025-07-25T07:48:12.675523,BTC-USDT,1151937000,0.0,0,0.0
2025-07-25T07:48:12.676501,BTC-USDT,0.0,1152254000,0.0,187783
2025-07-25T07:48:12.677591,BTC-USDT,1152057000,0.0,288093,0.0
2025-07-25T07:48:12.678192,BTC-USDT,1152021000,0.0,1,0.0
2025-07-25T07:48:13.021829,BTC-USDT,0.0,1152254000,0.0,205659
2025-07-25T07:48:13.026579,BTC-USDT,1152102000,0.0,1,0.0
2025-07-25T07:48:13.027324,BTC-USDT,0.0,1152254000,0.0,187783
2025-07-25T07:48:13.028871,BTC-USDT,0.0,1152254000,0.0,205659
2025-07-25T07:48:13.046332,BTC-USDT,0.0,1152254000,0.0,187783
2025-07-25T07:48:13.941080,BTC-USDT,0.0,1152254000,0.0,261583
2025-07-25T07:48:13.950955,BTC-USDT,1152142000,1152254000,1,187783
2025-07-25T07:48:13.952684,BTC-USDT,1152057000,0.0,194477,0.0
2025-07-25T07:48:13.954030,BTC-USDT,0.0,1152254000,0.0,205659
2025-07-25T07:48:13.968472,BTC-USDT,1152028000,0.0,93622,0.0
2025-07-25T07:48:14.047899,BTC-USDT,0.0,1152254000,0.0,187783
2025-07-25T07:48:14.408275,BTC-USDT,0.0,1152254000,0.0,261583
2025-07-25T07:48:14.488742,BTC-USDT,0.0,1152254000,0.0,279459
2025-07-25T07:48:15.036496,BTC-USDT,1152182000,0.0,1,0.0
2025-07-25T07:48:15.396905,BTC-USDT,0.0,1152254000,0.0,261583
2025-07-25T07:48:15.398713,BTC-USDT,0.0,1152254000,0.0,279239
2025-07-25T07:48:15.399899,BTC-USDT,0.0,1152260000,0.0,73800
2025-07-25T07:48:16.283100,BTC-USDT,1152082000,0.0,0,0.0
2025-07-25T07:48:16.288739,BTC-USDT,1152047000,0.0,0,0.0
2025-07-25T07:48:16.289978,BTC-USDT,0.0,1152254000,0.0,279240
2025-07-25T07:48:16.371354,BTC-USDT,0.0,1152254000,0.0,205440
2025-07-25T07:48:16.391863,BTC-USDT,1151941000,0.0,23568,0.0
2025-07-25T07:48:16.471554,BTC-USDT,1152171000,0.0,130922,0.0
2025-07-25T07:48:16.632249,BTC-USDT,1152010000,0.0,75524,0.0
2025-07-25T07:48:16.711757,BTC-USDT,1152137000,0.0,17656,0.0
2025-07-25T07:48:16.751908,BTC-USDT,1152137000,0.0,0,0.0
