timestamp,exchange,bid,ask,bid_vol,ask_vol
2025-07-25T08:16:26.228008,bybit,0.2576,0.2577,14287.2,22223.1
2025-07-25T08:16:26.228037,bybit,0.2576,0.2577,14900.4,20476.6
2025-07-25T08:16:26.228061,bybit,0.2576,0.0,15054.9,0.0
2025-07-25T08:16:26.228676,bybit,0.0,0.2577,0.0,20521.6
2025-07-25T08:16:26.292629,bybit,0.2576,0.0,14441.7,0.0
2025-07-25T08:16:26.351614,bybit,0.0,0.2577,0.0,22268.1
2025-07-25T08:16:26.420502,bybit,0.2576,0.2577,18441.7,24268.1
2025-07-25T08:16:26.564071,digifinex,0.2576,0.2577,1296.0,928.0
2025-07-25T08:16:26.620316,bybit,0.2576,0.2577,19054.9,22521.6
2025-07-25T08:16:26.683048,bitget,0.2576,0.2577,4262.1,24539.5
2025-07-25T08:16:26.685100,okx,0.2575,0.2577,3849.594493,4056.065064
2025-07-25T08:16:26.754587,okx,0.2575,0.2577,8035.194663,4056.065064
2025-07-25T08:16:26.880965,okx,0.2575,0.2577,7535.194663,4056.065064
2025-07-25T08:16:26.920361,bybit,0.2576,0.0,18835.7,0.0
2025-07-25T08:16:26.963226,bitget,0.2576,0.2577,18262.1,24539.5
2025-07-25T08:16:27.016424,huobi,0.2575,0.2577,11081.92,1024.4
2025-07-25T08:16:27.020754,bybit,0.0,0.2577,0.0,22693.4
2025-07-25T08:16:27.119107,bitget,0.2576,0.2577,18262.1,24539.5
2025-07-25T08:16:27.120530,bybit,0.2576,0.0,19054.9,0.0
2025-07-25T08:16:27.221180,bybit,0.2576,0.0,18835.7,0.0
2025-07-25T08:16:27.309170,huobi,0.2575,0.2576,11081.92,864.0
2025-07-25T08:16:27.321371,bybit,0.2576,0.0,18222.5,0.0
2025-07-25T08:16:27.387309,ascendex,0.0,0.258,0.0,348635.0
2025-07-25T08:16:27.412902,huobi,0.2576,0.2577,864.0,979.0
2025-07-25T08:16:27.421096,bybit,0.2576,0.2577,23913.4,13693.4
2025-07-25T08:16:27.425932,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:27.491908,okx,0.2576,0.2577,3685.60017,2285.096236
2025-07-25T08:16:27.512873,huobi,0.2575,0.2577,11081.92,1024.4
2025-07-25T08:16:27.547372,binance,0.2576,0.2576,0.0,0.0
2025-07-25T08:16:27.561932,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:27.572901,bitmart,0.257,0.2582,137509.0,855962.0
2025-07-25T08:16:27.587160,okx,0.2576,0.2577,3685.60017,1055.096236
2025-07-25T08:16:27.712495,huobi,0.2575,0.2577,11081.92,979.0
2025-07-25T08:16:27.713040,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:27.821206,bybit,0.2576,0.0,23529.1,0.0
2025-07-25T08:16:27.863513,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:27.988300,bingx,0.2574,0.2577,2677.79,3673.9
2025-07-25T08:16:28.017860,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:28.020342,bybit,0.2576,0.0,24054.9,0.0
2025-07-25T08:16:28.121030,bybit,0.2576,0.0,23529.1,0.0
2025-07-25T08:16:28.163159,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:28.173728,lbank,0.2576,0.2577,23095.2,5626.73
2025-07-25T08:16:28.221088,bybit,0.2576,0.0,24132.6,0.0
2025-07-25T08:16:28.315335,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:28.420220,bybit,0.2576,0.0,23913.4,0.0
2025-07-25T08:16:28.463026,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:28.514167,huobi,0.2576,0.2577,864.0,979.0
2025-07-25T08:16:28.521040,bybit,0.2576,0.0,24132.6,0.0
2025-07-25T08:16:28.547461,binance,0.2576,0.2576,0.0,0.0
2025-07-25T08:16:28.577335,bitmart,0.257,0.2582,137509.0,855962.0
2025-07-25T08:16:28.596961,blofin,0.2573,0.2574,1072.0,3.0
2025-07-25T08:16:28.609743,huobi,0.2575,0.2577,11081.92,1024.4
2025-07-25T08:16:28.617164,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:28.621040,bybit,0.2576,0.0,24054.9,0.0
2025-07-25T08:16:28.709924,huobi,0.2575,0.2577,7777.76,1024.4
2025-07-25T08:16:28.764052,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:28.809919,huobi,0.2575,0.2577,8405.28,1024.4
2025-07-25T08:16:28.866966,mexc,0.2576,0.2577,35441262.0,35441262.0
2025-07-25T08:16:28.886660,bingx,0.2574,0.2577,2677.79,3673.9
2025-07-25T08:16:28.921667,bitget,0.2576,0.2577,20168.7,24539.5
2025-07-25T08:16:29.011601,huobi,0.2575,0.2577,8405.28,979.0
2025-07-25T08:16:29.020945,bybit,0.0,0.2577,0.0,11156.7
2025-07-25T08:16:29.077541,blofin,0.2573,0.2574,1071.0,3.0
