timestamp,exchange,bid,ask,bid_vol,ask_vol
2025-07-25T08:16:26.227691,bybit,0.15314,0.15315,240.0,320.0
2025-07-25T08:16:26.227712,bybit,0.15314,0.15315,620.0,670.0
2025-07-25T08:16:26.227728,bybit,0.0,0.15318,0.0,40.0
2025-07-25T08:16:26.227747,bybit,0.15315,0.15317,340.0,420.0
2025-07-25T08:16:26.227765,bybit,0.15316,0.15317,380.0,350.0
2025-07-25T08:16:26.683015,bitget,0.15312,0.1533,3300.0,1114.0
2025-07-25T08:16:27.143969,bybit,0.0,0.15317,0.0,560.0
2025-07-25T08:16:27.320676,bingx,0.15309,0.15321,400.0,529.12
2025-07-25T08:16:27.672373,bitmart,0.15293,0.15364,160.0,34507.0
2025-07-25T08:16:27.978836,bingx,0.15309,0.15321,400.0,529.12
2025-07-25T08:16:28.597219,blofin,0.15324,0.15328,37.0,13.0
2025-07-25T08:16:28.620045,bitmart,0.15293,0.15364,160.0,34507.0
2025-07-25T08:16:28.878546,bingx,0.15309,0.15321,400.0,529.12
2025-07-25T08:16:29.033744,mexc,0.15326,0.15328,304728.0,304728.0
2025-07-25T08:16:29.089617,blofin,0.15324,0.15328,47.0,16.0
2025-07-25T08:16:29.443294,bybit,0.0,0.15317,0.0,520.0
2025-07-25T08:16:29.544124,bybit,0.15314,0.15315,240.0,320.0
2025-07-25T08:16:29.564304,gateio,0.15305,0.1532,7.0,23.0
2025-07-25T08:16:29.564343,blofin,0.15324,0.15328,43.0,23.0
2025-07-25T08:16:29.585165,gateio,0.15305,0.15317,7.0,32.0
2025-07-25T08:16:29.606996,gateio,0.15305,0.15317,5.0,35.0
2025-07-25T08:16:29.619033,gateio,0.15303,0.15317,2.0,35.0
2025-07-25T08:16:29.644461,bybit,0.0,0.15315,0.0,700.0
2025-07-25T08:16:29.651915,bitget,0.15311,0.15328,11740.0,3342.0
2025-07-25T08:16:29.662028,bitmart,0.15293,0.15364,160.0,34507.0
2025-07-25T08:16:29.786113,bingx,0.15309,0.15321,400.0,529.12
2025-07-25T08:16:29.803629,bitget,0.15312,0.15328,14094.0,3342.0
2025-07-25T08:16:29.942351,gateio,0.15303,0.15317,5.0,35.0
2025-07-25T08:16:29.943532,bybit,0.15314,0.15315,590.0,320.0
2025-07-25T08:16:30.033341,gateio,0.15303,0.15317,5.0,3.0
2025-07-25T08:16:30.043501,bybit,0.15315,0.15317,340.0,540.0
2025-07-25T08:16:30.051085,gateio,0.15303,0.15317,2.0,3.0
2025-07-25T08:16:30.061469,blofin,0.15324,0.15327,5.0,237.0
2025-07-25T08:16:30.085547,bingx,0.15308,0.15319,400.0,529.12
2025-07-25T08:16:30.102556,bitget,0.15312,0.15328,14094.0,3342.0
2025-07-25T08:16:30.143296,bybit,0.15316,0.0,360.0,0.0
2025-07-25T08:16:30.253463,bitget,0.15312,0.15328,14094.0,3342.0
2025-07-25T08:16:30.534130,blofin,0.15324,0.15327,5.0,16.0
2025-07-25T08:16:30.544490,bybit,0.0,0.15317,0.0,170.0
2025-07-25T08:16:30.571903,bitmart,0.15293,0.15364,160.0,33889.0
2025-07-25T08:16:30.586349,gateio,0.15304,0.15317,15.0,3.0
2025-07-25T08:16:30.595383,gateio,0.15305,0.15317,17.0,3.0
2025-07-25T08:16:30.643551,bybit,0.15317,0.15318,700.0,40.0
2025-07-25T08:16:30.664506,gateio,0.15305,0.15317,2.0,3.0
2025-07-25T08:16:30.709092,bitget,0.15312,0.15333,17436.0,143.0
2025-07-25T08:16:30.743276,bybit,0.15317,0.15318,380.0,460.0
2025-07-25T08:16:30.843881,bybit,0.15315,0.15316,260.0,320.0
2025-07-25T08:16:30.856010,bitget,0.15312,0.15335,14094.0,3342.0
2025-07-25T08:16:30.943966,bybit,0.15315,0.15316,410.0,680.0
2025-07-25T08:16:30.991256,bingx,0.15308,0.15319,400.0,529.12
2025-07-25T08:16:31.006895,bitget,0.15312,0.15334,14094.0,793.0
2025-07-25T08:16:31.067023,blofin,0.15324,0.15328,42.0,7.0
2025-07-25T08:16:31.154559,bitget,0.15312,0.15333,14094.0,429.0
2025-07-25T08:16:31.286364,bingx,0.15304,0.15329,929.12,1058.24
2025-07-25T08:16:31.436197,mexc,0.15326,0.15328,304728.0,304728.0
2025-07-25T08:16:31.547547,blofin,0.15324,0.15328,5.0,23.0
2025-07-25T08:16:31.661944,bitmart,0.15293,0.15363,160.0,618.0
2025-07-25T08:16:31.843757,bybit,0.15314,0.15316,240.0,850.0
2025-07-25T08:16:31.903102,gateio,0.15303,0.15317,2.0,3.0
2025-07-25T08:16:31.925055,gateio,0.15298,0.15317,15.0,3.0
2025-07-25T08:16:31.943554,bybit,0.0,0.15315,0.0,320.0
2025-07-25T08:16:31.945458,gateio,0.153,0.15316,2.0,13.0
2025-07-25T08:16:31.978908,gateio,0.153,0.15315,2.0,3.0
2025-07-25T08:16:32.043101,bybit,0.0,0.15315,0.0,730.0
2025-07-25T08:16:32.059501,bitget,0.15312,0.15328,14094.0,3342.0
2025-07-25T08:16:32.077274,blofin,0.15324,0.15327,5.0,16.0
2025-07-25T08:16:32.198257,bingx,0.15302,0.15327,929.12,1058.24
2025-07-25T08:16:32.203757,bitget,0.15312,0.15328,14094.0,3342.0
2025-07-25T08:16:32.311051,gateio,0.15298,0.15315,13.0,3.0
2025-07-25T08:16:32.346825,gateio,0.15296,0.15315,13.0,3.0
2025-07-25T08:16:32.357040,gateio,0.15288,0.1531,32.0,13.0
2025-07-25T08:16:32.366912,gateio,0.1529,0.15308,13.0,3.0
2025-07-25T08:16:32.382870,gateio,0.1529,0.15308,15.0,16.0
