timestamp,exchange,bid,ask,bid_vol,ask_vol
2025-07-25T07:43:54.965909,huobi,111.28,111.31,2.97,2.97
2025-07-25T07:43:55.157974,bitrue,111.28,111.33,25.76,69.324
2025-07-25T07:43:55.321894,huobi,111.28,111.34,2.97,2.97
2025-07-25T07:43:55.421086,huobi,111.29,111.36,5.302,5.302
2025-07-25T07:43:55.522676,huobi,111.29,111.35,5.302,2.97
2025-07-25T07:43:58.219250,huobi,111.29,111.33,5.302,2.97
2025-07-25T07:43:59.820480,huobi,111.29,111.33,2.97,2.97
2025-07-25T07:44:00.026758,huobi,111.29,111.33,2.97,2.97
2025-07-25T07:44:00.420035,huobi,111.29,111.33,2.7871,2.97
2025-07-25T07:44:01.120401,huobi,111.29,111.33,2.7871,2.97
2025-07-25T07:44:01.322168,huobi,111.29,111.36,2.7871,2.332
2025-07-25T07:44:01.424533,huobi,111.3,111.35,5.302,2.97
2025-07-25T07:44:02.119847,huobi,111.3,111.35,5.302,2.97
2025-07-25T07:44:02.343196,bitrue,111.32,111.36,102.887,33.862
2025-07-25T07:44:03.390245,bitrue,111.32,111.36,102.887,33.862
2025-07-25T07:44:04.435874,bitrue,111.32,111.36,102.887,33.862
2025-07-25T07:44:06.020464,huobi,111.3,111.37,5.302,8.0039
2025-07-25T07:44:06.120849,huobi,111.3,111.36,5.302,2.97
2025-07-25T07:44:06.623365,huobi,111.3,111.35,5.302,0.2119
2025-07-25T07:44:06.758331,huobi,111.3,111.37,23.802,2.97
2025-07-25T07:44:06.820729,huobi,111.32,111.37,5.302,2.97
2025-07-25T07:44:07.119599,huobi,111.32,111.37,5.302,2.97
2025-07-25T07:44:10.718882,huobi,111.31,111.35,2.97,2.97
2025-07-25T07:44:11.418401,huobi,111.3,111.33,5.302,2.97
2025-07-25T07:44:11.519383,huobi,111.3,111.33,2.97,2.97
2025-07-25T07:44:11.919117,huobi,111.31,111.33,2.97,2.97
2025-07-25T07:44:12.419624,huobi,111.29,111.33,20.832,2.97
2025-07-25T07:44:13.968326,bitrue,111.31,111.36,29.144,33.862
