timestamp,exchange,bid,ask,bid_vol,ask_vol
2025-07-25T07:43:54.965831,huobi,3613.61,3614.12,2.7671,2.7669
2025-07-25T07:43:55.018380,huobi,3614.11,3614.12,0.3988,2.7669
2025-07-25T07:43:55.118593,huobi,3614.02,3614.03,0.052,0.04
2025-07-25T07:43:55.157835,bitrue,3613.89,3613.98,7.293,1.52
2025-07-25T07:43:55.157957,bitrue,3613.89,3613.98,7.293,1.52
2025-07-25T07:43:55.218529,huobi,3614.02,3614.03,2.8189,0.04
2025-07-25T07:43:55.320714,huobi,3614.02,3614.03,2.8189,0.0593
2025-07-25T07:43:55.419648,huobi,3614.02,3614.03,2.8553,0.0593
2025-07-25T07:43:55.619110,huobi,3614.02,3614.03,5.3115,0.0593
2025-07-25T07:43:56.019253,huobi,3614.03,3614.31,0.0472,0.0039
2025-07-25T07:43:56.088942,bitrue,3614.22,3614.31,6.317,0.066
2025-07-25T07:43:56.121099,huobi,3614.33,3615.19,2.7664,2.5737
2025-07-25T07:43:56.219882,huobi,3614.33,3615.17,2.7664,1.1987
2025-07-25T07:43:56.318920,huobi,3614.5,3614.51,3.1653,0.0385
2025-07-25T07:43:56.819597,huobi,3614.42,3614.51,2.7665,2.805
2025-07-25T07:43:57.134667,bitrue,3614.38,3614.47,6.452,1.129
2025-07-25T07:43:57.318517,huobi,3614.5,3614.51,0.3988,2.805
2025-07-25T07:43:57.417652,huobi,3614.5,3614.51,2.7665,2.805
2025-07-25T07:43:57.919535,huobi,3614.41,3615.1,0.0057,0.6445
2025-07-25T07:43:58.021421,huobi,3614.42,3615.09,2.7664,2.7664
2025-07-25T07:43:58.118086,huobi,3614.41,3614.5,0.0057,0.0381
2025-07-25T07:43:58.218746,huobi,3614.49,3614.5,0.3988,2.8046
2025-07-25T07:43:58.418539,huobi,3614.49,3614.5,3.1653,2.8046
2025-07-25T07:43:58.533747,huobi,3614.49,3614.5,0.3988,2.8046
2025-07-25T07:43:59.017547,huobi,3614.41,3614.5,0.0057,2.8046
2025-07-25T07:43:59.119359,huobi,3614.49,3614.5,3.1653,2.8046
2025-07-25T07:43:59.218125,huobi,3614.41,3614.5,0.0057,0.0381
2025-07-25T07:43:59.319225,huobi,3614.49,3614.5,3.1653,0.0381
2025-07-25T07:43:59.624057,huobi,3614.49,3614.5,2.7665,2.8046
2025-07-25T07:43:59.718298,huobi,3614.41,3614.5,0.0057,0.0381
2025-07-25T07:43:59.819203,huobi,3614.49,3614.5,0.3988,0.0381
2025-07-25T07:43:59.918599,huobi,3614.41,3614.42,0.0057,0.0374
2025-07-25T07:44:00.025033,huobi,3614.41,3614.42,2.7722,0.0374
2025-07-25T07:44:00.218670,huobi,3614.81,3615.08,0.0334,0.0015
2025-07-25T07:44:00.318683,huobi,3614.81,3615.05,0.0334,0.0014
2025-07-25T07:44:00.563158,huobi,3614.81,3614.82,0.0334,2.4408
2025-07-25T07:44:00.718540,huobi,3614.81,3614.82,0.0334,2.8062
2025-07-25T07:44:01.228239,huobi,3614.51,3615.11,4.4782,0.0044
2025-07-25T07:44:01.320911,huobi,3615.43,3615.75,0.0118,0.0573
2025-07-25T07:44:01.423948,huobi,3615.44,3615.73,2.7658,0.0014
2025-07-25T07:44:01.518896,huobi,3615.22,3615.49,2.6822,0.0391
2025-07-25T07:44:01.619862,huobi,3615.48,3615.49,0.3988,0.0391
2025-07-25T07:44:01.918598,huobi,3615.48,3615.49,0.1327,3.1646
2025-07-25T07:44:02.020071,huobi,3615.2,3615.48,0.052,2.7658
2025-07-25T07:44:02.119364,huobi,3615.32,3615.75,0.0365,2.8229
2025-07-25T07:44:02.219389,huobi,3615.31,3615.32,2.8671,0.1327
2025-07-25T07:44:02.318763,huobi,3615.31,3615.32,2.8671,0.1384
2025-07-25T07:44:02.369367,bitrue,3615.28,3615.37,7.189,0.053
2025-07-25T07:44:02.517742,huobi,3615.31,3615.32,2.8671,0.0057
2025-07-25T07:44:02.618230,huobi,3615.2,3615.21,0.0377,0.3988
2025-07-25T07:44:02.818743,huobi,3615.33,3615.34,0.052,0.0389
2025-07-25T07:44:02.921653,huobi,3615.05,3615.71,0.0043,1.3632
2025-07-25T07:44:03.018533,huobi,3615.01,3615.68,3.636,2.766
2025-07-25T07:44:03.120197,huobi,3615.66,3615.67,0.052,0.0438
2025-07-25T07:44:03.220009,huobi,3615.66,3615.67,0.052,0.0363
2025-07-25T07:44:03.321277,huobi,3614.89,3615.51,0.5434,0.0389
2025-07-25T07:44:03.415384,bitrue,3615.61,3615.71,5.521,5.877
2025-07-25T07:44:03.419228,huobi,3614.9,3615.51,0.3982,0.0389
2025-07-25T07:44:03.519354,huobi,3615.5,3615.51,0.052,0.0389
2025-07-25T07:44:03.619477,huobi,3614.9,3615.5,0.0413,0.1645
2025-07-25T07:44:03.720560,huobi,3615.5,3615.51,0.052,0.0389
2025-07-25T07:44:04.019051,huobi,3615.35,3615.36,0.052,0.0387
2025-07-25T07:44:04.119888,huobi,3615.35,3615.87,0.052,0.4
2025-07-25T07:44:04.218553,huobi,3615.35,3615.83,0.052,2.8306
2025-07-25T07:44:04.318418,huobi,3615.32,3615.8,0.5029,0.9794
2025-07-25T07:44:04.418241,huobi,3615.79,3615.8,0.052,0.4385
2025-07-25T07:44:04.459806,bitrue,3615.61,3615.71,5.521,5.877
2025-07-25T07:44:04.518352,huobi,3615.79,3615.8,0.052,3.2041
2025-07-25T07:44:04.818855,huobi,3615.21,3615.22,0.0075,0.3987
2025-07-25T07:44:04.918496,huobi,3615.16,3615.17,0.0383,0.3988
2025-07-25T07:44:05.018388,huobi,3615.16,3615.17,0.0903,0.3988
2025-07-25T07:44:05.118673,huobi,3615.34,3615.35,3.638,2.7662
2025-07-25T07:44:05.218953,huobi,3614.72,3615.35,2.7059,2.7662
2025-07-25T07:44:05.318740,huobi,3615.29,3615.3,3.637,2.7662
2025-07-25T07:44:05.418551,huobi,3614.84,3614.85,0.0888,0.3987
2025-07-25T07:44:05.517987,huobi,3615.0,3615.01,0.0386,2.391
2025-07-25T07:44:05.619239,huobi,3615.3,3615.31,0.1994,0.0057
2025-07-25T07:44:05.718457,huobi,3615.3,3615.31,0.2514,0.0057
2025-07-25T07:44:05.818596,huobi,3615.3,3615.31,0.0796,0.0057
2025-07-25T07:44:06.019520,huobi,3615.3,3615.31,0.0069,0.0057
2025-07-25T07:44:06.119237,huobi,3615.3,3615.31,2.7648,0.0057
2025-07-25T07:44:06.318536,huobi,3615.3,3615.31,0.0589,0.0057
2025-07-25T07:44:06.753904,huobi,3615.3,3615.31,2.7648,0.0057
2025-07-25T07:44:06.819952,huobi,3615.3,3615.31,6.4008,0.0057
2025-07-25T07:44:06.919580,huobi,3615.3,3615.31,2.7648,0.0057
2025-07-25T07:44:07.119173,huobi,3615.3,3615.31,2.7128,0.0057
2025-07-25T07:44:08.018531,huobi,3615.3,3615.31,2.7526,0.0057
2025-07-25T07:44:08.419312,huobi,3615.4,3615.99,0.0377,2.7657
2025-07-25T07:44:08.518912,huobi,3615.4,3616.0,0.0377,4.9608
2025-07-25T07:44:08.619029,huobi,3615.99,3616.0,0.052,4.9987
2025-07-25T07:44:08.918439,huobi,3615.99,3616.0,0.052,5.0194
2025-07-25T07:44:09.807514,bitrue,3615.94,3616.03,5.97,2.92
2025-07-25T07:44:09.817998,huobi,3615.99,3616.0,0.052,7.7848
2025-07-25T07:44:10.019177,huobi,3615.99,3616.0,0.052,5.0194
2025-07-25T07:44:10.117918,huobi,3615.99,3616.0,0.052,7.7848
2025-07-25T07:44:10.218405,huobi,3615.99,3616.0,0.052,5.0194
2025-07-25T07:44:10.318579,huobi,3615.99,3616.0,0.052,7.7848
2025-07-25T07:44:10.517676,huobi,3615.99,3616.0,0.052,5.0194
2025-07-25T07:44:10.718057,huobi,3615.99,3616.0,0.052,7.7848
2025-07-25T07:44:11.718733,huobi,3615.99,3616.0,0.052,5.0194
2025-07-25T07:44:11.918335,huobi,3615.99,3616.0,0.052,7.7848
2025-07-25T07:44:12.020169,huobi,3615.99,3616.0,0.052,5.0194
2025-07-25T07:44:12.318491,huobi,3615.99,3616.0,0.052,7.7848
2025-07-25T07:44:12.718078,huobi,3615.97,3615.98,0.0058,3.1546
2025-07-25T07:44:13.318343,huobi,3615.97,3615.98,0.0058,3.1547
2025-07-25T07:44:14.717866,huobi,3615.71,3615.98,0.0038,3.1547
2025-07-25T07:44:14.818720,huobi,3615.71,3615.72,0.0038,3.0685
2025-07-25T07:44:14.918426,huobi,3615.57,3615.61,3.625,0.3322
2025-07-25T07:44:15.019190,huobi,3615.57,3615.63,3.625,0.0371
2025-07-25T07:44:15.040629,bitrue,3615.83,3615.94,7.716,7.72
2025-07-25T07:44:15.118157,huobi,3615.57,3615.58,3.625,0.3322
2025-07-25T07:44:15.319161,huobi,3615.62,3615.63,0.1994,0.0371
2025-07-25T07:44:15.417632,huobi,3615.57,3615.58,3.625,0.3322
2025-07-25T07:44:15.538073,huobi,3615.57,3615.63,3.625,0.0371
2025-07-25T07:44:15.618268,huobi,3615.43,3615.44,0.0368,0.3322
2025-07-25T07:44:15.718819,huobi,3615.46,3616.0,3.625,4.9608
2025-07-25T07:44:15.817840,huobi,3615.5,3615.51,0.3988,0.0207
2025-07-25T07:44:15.918967,huobi,3615.5,3615.51,0.4264,0.0207
2025-07-25T07:44:16.018799,huobi,3615.5,3615.51,0.0276,0.0207
2025-07-25T07:44:17.819879,huobi,3615.99,3616.0,0.4508,4.9608
2025-07-25T07:44:17.918656,huobi,3615.99,3616.0,0.052,4.9608
2025-07-25T07:44:18.117975,huobi,3615.99,3616.0,0.052,4.9998
2025-07-25T07:44:18.177041,bitrue,3615.94,3616.03,6.033,2.92
2025-07-25T07:44:18.327184,huobi,3615.99,3616.0,0.052,5.0205
2025-07-25T07:44:19.119517,huobi,3615.99,3616.0,0.052,7.7859
2025-07-25T07:44:19.720125,huobi,3615.22,3615.72,0.0038,2.8041
2025-07-25T07:44:19.819176,huobi,3615.22,3615.23,0.0038,2.8044
2025-07-25T07:44:19.918613,huobi,3614.99,3615.23,0.0387,2.8044
2025-07-25T07:44:20.118304,huobi,3614.99,3615.23,0.0387,0.0384
2025-07-25T07:44:20.276615,bitrue,3615.24,3615.33,7.64,7.947
2025-07-25T07:44:20.419038,huobi,3615.22,3615.23,0.3988,0.0384
2025-07-25T07:44:20.519202,huobi,3615.22,3615.7,0.3988,2.7658
2025-07-25T07:44:20.718010,huobi,3615.22,3615.69,0.3988,2.7733
2025-07-25T07:44:20.818888,huobi,3615.23,3615.24,0.4508,0.0387
2025-07-25T07:44:20.919741,huobi,3615.23,3615.24,0.052,0.0387
2025-07-25T07:44:21.218339,huobi,3615.23,3615.24,0.0592,0.0594
2025-07-25T07:44:21.318864,huobi,3615.23,3615.24,0.0592,2.8254
2025-07-25T07:44:21.320133,bitrue,3615.32,3615.41,6.821,5.363
2025-07-25T07:44:21.419007,huobi,3615.23,3615.24,0.0072,2.8254
2025-07-25T07:44:22.319468,huobi,3615.23,3615.24,0.0072,0.0594
2025-07-25T07:44:22.366944,bitrue,3615.24,3615.33,7.64,6.343
2025-07-25T07:44:23.119454,huobi,3615.23,3615.24,0.0592,0.0207
2025-07-25T07:44:23.420710,huobi,3615.24,3615.26,0.0354,0.0207
2025-07-25T07:44:23.422688,bitrue,3615.58,3615.67,5.313,6.354
2025-07-25T07:44:23.518758,huobi,3615.34,3615.96,0.0388,0.0018
2025-07-25T07:44:23.623635,huobi,3615.43,3616.0,0.0399,4.9608
2025-07-25T07:44:23.719133,huobi,3615.97,3615.98,0.3988,0.0018
2025-07-25T07:44:23.818048,huobi,3615.53,3616.0,2.7059,4.9608
2025-07-25T07:44:23.918696,huobi,3615.99,3616.0,0.052,4.9608
2025-07-25T07:44:24.019046,huobi,3615.99,3616.0,0.052,4.9981
2025-07-25T07:44:24.318318,huobi,3615.99,3616.0,0.052,7.7635
2025-07-25T07:44:24.467265,bitrue,3615.9,3616.03,7.848,2.92
2025-07-25T07:44:24.918719,huobi,3615.99,3616.0,0.052,7.7842
2025-07-25T07:44:26.218866,huobi,3615.53,3615.58,3.623,2.7658
2025-07-25T07:44:26.417135,huobi,3615.57,3615.58,0.4508,2.7658
2025-07-25T07:44:26.517740,huobi,3615.57,3615.58,0.052,2.7658
2025-07-25T07:44:26.719057,huobi,3615.38,3615.39,0.3988,0.0371
2025-07-25T07:44:27.058711,huobi,3615.67,3615.68,0.3988,0.0054
2025-07-25T07:44:27.218217,huobi,3615.67,3615.68,0.4508,0.0054
2025-07-25T07:44:27.318002,huobi,3615.67,3615.68,0.4508,0.0436
2025-07-25T07:44:27.517957,huobi,3615.67,3615.68,0.052,0.0436
2025-07-25T07:44:27.608371,bitrue,3615.72,3615.81,7.112,4.521
2025-07-25T07:44:27.617534,huobi,3615.67,3615.68,0.052,2.8093
2025-07-25T07:44:28.018122,huobi,3615.67,3615.68,0.0796,0.0643
2025-07-25T07:44:28.656486,bitrue,3615.72,3615.81,7.112,4.521
2025-07-25T07:44:30.825272,huobi,3615.67,3615.68,0.0276,0.0643
2025-07-25T07:44:31.122988,huobi,3615.39,3615.68,0.0042,0.0436
2025-07-25T07:44:31.221443,huobi,3614.6,3615.39,0.0145,2.7658
