timestamp,symbol,bid,ask,bid_vol,ask_vol
2025-07-24T15:28:39.121863,BTC-USDT,119002.07,119002.08,0.1743,30.3578
2025-07-24T15:28:39.121982,BTC-USDT,119002.07,119002.08,0.1743,30.3578
2025-07-24T15:28:39.122017,ETH-USDT,3741.33,3741.42,0.536,6.901
2025-07-24T15:28:39.122040,SOL-USDT,189.31,189.37,101.062,98.66
2025-07-24T15:28:39.122063,XRP-USDT,3.2373,3.2386,10321.5,196.8
2025-07-24T15:28:39.122088,LTC-USDT,114.42,114.46,23.545,86.197
2025-07-24T15:28:39.671180,XRP-USDT,3.2364,3.2379,91663.5,43428.3
2025-07-24T15:28:39.681976,ETH-USDT,3740.85,3740.94,5.207,5.22
2025-07-24T15:28:40.703749,LTC-USDT,114.41,114.46,18.299,86.197
2025-07-24T15:28:40.727380,SOL-USDT,189.29,189.34,121.854,106.085
2025-07-24T15:28:40.731168,ETH-USDT,3740.85,3740.94,5.414,5.22
2025-07-24T15:28:40.742001,BTC-USDT,119002.07,119002.08,0.1743,30.3578
2025-07-24T15:28:41.751670,LTC-USDT,114.4,114.43,16.545,65.887
2025-07-24T15:28:41.774672,SOL-USDT,189.27,189.3,106.083,95.863
2025-07-24T15:28:41.776514,ETH-USDT,3740.85,3740.94,5.414,5.22
2025-07-24T15:28:42.796259,LTC-USDT,114.38,114.43,97.332,65.887
2025-07-24T15:28:42.809478,XRP-USDT,3.2359,3.2369,61.7,107657.2
2025-07-24T15:28:42.820214,SOL-USDT,189.25,189.3,89.34,95.863
2025-07-24T15:28:42.820803,ETH-USDT,3740.53,3740.62,5.616,5.29
2025-07-24T15:28:42.830762,BTC-USDT,119002.07,119002.08,0.1743,30.3578
2025-07-24T15:28:43.840537,LTC-USDT,114.38,114.41,97.332,48.976
2025-07-24T15:28:43.855303,XRP-USDT,3.2338,3.2353,31100.4,72453.5
2025-07-24T15:28:43.868891,ETH-USDT,3740.28,3740.37,0.507,6.674
2025-07-24T15:28:44.912349,SOL-USDT,189.22,189.27,108.572,101.859
2025-07-24T15:28:44.913751,ETH-USDT,3739.57,3739.66,6.406,6.262
2025-07-24T15:28:44.924458,BTC-USDT,117750.0,119002.08,1.0372,30.3578
2025-07-24T15:28:45.933941,LTC-USDT,114.37,114.41,30.089,48.976
2025-07-24T15:28:45.956072,SOL-USDT,189.17,189.23,106.738,84.564
2025-07-24T15:28:45.957947,ETH-USDT,3738.83,3738.92,6.857,5.589
2025-07-24T15:28:45.970076,BTC-USDT,118979.23,118979.24,14.2761,0.1111
2025-07-24T15:28:46.981092,LTC-USDT,114.33,114.38,39.562,78.745
2025-07-24T15:28:46.993042,XRP-USDT,3.234,3.2355,4104.4,86170.8
2025-07-24T15:28:47.005198,SOL-USDT,189.1,189.13,105.222,108.583
2025-07-24T15:28:47.006981,ETH-USDT,3738.22,3738.33,5.635,6.451
2025-07-24T15:28:47.018639,BTC-USDT,118979.23,118979.24,14.2761,0.1111
2025-07-24T15:28:48.044959,XRP-USDT,3.2334,3.2349,70651.4,45.8
2025-07-24T15:28:48.054371,SOL-USDT,189.07,189.1,110.841,98.248
2025-07-24T15:28:48.055027,ETH-USDT,3737.98,3738.07,6.65,6.509
2025-07-24T15:28:49.096163,SOL-USDT,189.07,189.1,110.841,98.248
2025-07-24T15:28:49.098096,ETH-USDT,3737.87,3737.96,6.581,7.412
2025-07-24T15:28:49.111249,BTC-USDT,118979.23,118979.24,14.2761,0.1111
2025-07-24T15:28:50.136431,XRP-USDT,3.2338,3.2353,158943.2,18683.0
2025-07-24T15:28:50.149408,SOL-USDT,189.1,189.13,107.075,108.583
2025-07-24T15:28:50.150908,ETH-USDT,3738.0,3738.09,7.55,2.02
2025-07-24T15:28:51.175792,LTC-USDT,114.36,114.39,100.412,33.088
2025-07-24T15:28:51.196574,SOL-USDT,189.13,189.16,122.439,122.263
2025-07-24T15:28:51.197989,ETH-USDT,3739.56,3739.66,0.848,6.262
2025-07-24T15:28:51.210902,BTC-USDT,118979.23,118979.24,14.2761,0.1111
2025-07-24T15:28:52.219709,LTC-USDT,114.37,114.43,91.724,65.887
2025-07-24T15:28:52.235330,XRP-USDT,3.2355,3.237,75730.2,49666.2
2025-07-24T15:28:52.243501,SOL-USDT,189.26,189.3,91.328,98.083
2025-07-24T15:28:52.245303,ETH-USDT,3741.71,3741.82,6.585,7.095
2025-07-24T15:28:52.257822,BTC-USDT,117750.0,118982.66,1.0372,0.0001
2025-07-24T15:28:53.268347,LTC-USDT,114.46,114.49,78.779,97.425
2025-07-24T15:28:53.292843,SOL-USDT,189.26,189.3,91.328,98.083
2025-07-24T15:28:53.294407,ETH-USDT,3741.71,3741.82,6.585,7.095
2025-07-24T15:28:53.306120,BTC-USDT,119014.93,119014.94,18.7192,1.6574
2025-07-24T15:28:54.314713,LTC-USDT,114.46,114.49,78.779,97.425
