2025-07-24 06:15:26,809 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:15:26,976 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:15:29,598 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337729572}
2025-07-24 06:15:36,810 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:15:36,978 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:15:39,599 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337739572}
2025-07-24 06:15:46,810 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:15:46,978 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:15:49,599 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337749572}
2025-07-24 06:15:56,812 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:15:56,979 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:15:59,598 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337759572}
2025-07-24 06:16:06,813 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
2025-07-24 06:16:06,980 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'event': 'alert', 'message': 'Already subscribed to feed, re-requesting'}
2025-07-24 06:16:09,598 | DEBUG | [krakenfutures] ❗️ 未处理的消息: {'feed': 'heartbeat', 'time': 1753337769572}
2025-07-24 06:16:16,814 | INFO | [krakenfutures] 🔁 发送心跳: {"event": "subscribe", "feed": "heartbeat"}
